ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP, Sales ,OutletID,Date,OutletSize,LocationType,OutletType
FDX51,9.50,Regular,0.02,Meat,194.95,1949452.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
NCR06,12.50,Low Fat,0.01,Household,42.41,424112.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDU31,,Regular,0.02,Fruits and Vegetables,217.75,2177508.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDU59,5.78,Low Fat,0.10,Breads,164.26,1642552.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDR03,,Regular,0.01,Meat,205.10,2050980.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDS49,,Low Fat,0.08,Canned,80.36,803644.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDD48,10.40,Low Fat,0.05,Baking Goods,114.02,1140176.00,OUT010,6/20/1905,,Tier 3,Grocery Store
NCF18,18.35,Low Fat,0.09,Household,192.15,1921504.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
NCD43,,Low Fat,0.02,Household,103.40,1033964.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
NCD54,21.10,Low Fat,0.03,Household,143.38,1433786.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDY19,19.75,LF,0.07,Fruits and Vegetables,116.65,1166466.00,OUT010,6/20/1905,,Tier 3,Grocery Store
NCY54,8.43,Low Fat,0.18,Household,173.94,1739422.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
NCL19,15.35,Low Fat,0.02,Others,144.85,1448470.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDP23,6.71,Low Fat,0.06,Breads,217.22,2172166.00,OUT010,6/20/1905,,Tier 3,Grocery Store
FDC26,10.20,Low Fat,0.13,Canned,112.19,1121886.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDR14,11.65,Low Fat,0.29,Dairy,55.83,558298.00,OUT010,6/20/1905,,Tier 3,Grocery Store
NCS41,12.85,Low Fat,0.05,Health and Hygiene,183.26,1832608.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDF41,12.15,Low Fat,0.13,Frozen Foods,248.15,2481460.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDU34,18.25,Low Fat,0.08,Snack Foods,124.90,1249046.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
DRH11,5.98,Low Fat,0.08,Hard Drinks,57.06,570614.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDM03,12.65,Low Fat,0.12,Meat,106.69,1066938.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDS31,13.10,Regular,0.04,Fruits and Vegetables,181.03,1810318.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDJ20,20.70,Regular,0.10,Fruits and Vegetables,122.34,1223388.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDV44,,Regular,0.04,Fruits and Vegetables,188.72,1887188.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDG02,7.86,Low Fat,0.01,Canned,188.82,1888188.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDA09,13.35,Regular,0.00,Snack Foods,179.67,1796660.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDT04,17.25,LF,0.11,Frozen Foods,38.38,383822.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDL58,,Regular,0.13,Snack Foods,263.26,2632568.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDE52,10.40,Regular,0.03,Dairy,90.15,901514.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
FDW12,8.32,Regular,0.04,Baking Goods,144.84,1448444.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDL51,20.70,Regular,0.05,Dairy,214.99,2149876.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
NCY42,,Low Fat,0.02,Household,141.35,1413470.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDR07,21.35,Low Fat,0.08,Fruits and Vegetables,96.81,968094.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDN40,5.88,Low Fat,0.09,Frozen Foods,152.70,1526998.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
FDB35,,Regular,0.06,Starchy Foods,90.38,903804.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDA22,7.44,low fat,0.08,Starchy Foods,165.82,1658158.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
NCL06,14.65,Low Fat,0.07,Household,262.56,2625594.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDI35,14.00,Low Fat,0.04,Starchy Foods,181.26,1812634.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
NCW42,18.20,Low Fat,0.06,Household,221.65,2216456.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
NCX06,17.60,Low Fat,0.02,Household,180.10,1800976.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDC37,,Low Fat,0.03,Baking Goods,108.19,1081938.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDZ14,7.71,Regular,0.05,Dairy,122.38,1223756.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
DRG49,7.81,Low Fat,0.07,Soft Drinks,245.25,2452486.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
NCG06,16.35,Low Fat,0.03,Household,256.26,2562646.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
DRC36,13.00,Regular,0.05,Soft Drinks,173.71,1737054.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
FDV21,,Low Fat,0.30,Snack Foods,124.87,1248704.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDB53,13.35,Low Fat,0.14,Frozen Foods,148.64,1486392.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
DRP47,,Low Fat,0.25,Hard Drinks,252.44,2524382.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDA14,16.10,LF,0.07,Dairy,145.18,1451760.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
DRC24,17.85,Low Fat,0.02,Soft Drinks,152.70,1526998.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDW21,5.34,Regular,0.01,Snack Foods,100.64,1006358.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
NCH29,5.51,Low Fat,0.03,Health and Hygiene,97.37,973726.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDU58,6.61,Regular,0.03,Snack Foods,188.69,1886898.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDY27,6.38,Low Fat,0.03,Dairy,177.63,1776344.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDV56,16.10,Regular,0.01,Fruits and Vegetables,108.96,1089596.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDT59,13.65,LF,0.02,Breads,230.57,2305668.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDB23,19.20,Regular,0.01,Starchy Foods,225.51,2255062.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDR49,8.71,Low Fat,0.14,Canned,46.24,462376.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
FDB03,17.75,Regular,0.26,Dairy,242.25,2422538.00,OUT010,6/20/1905,,Tier 3,Grocery Store
FDN39,19.35,Regular,0.00,Meat,165.78,1657816.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
FDX02,,Low Fat,0.06,Dairy,223.14,2231404.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDQ16,,Low Fat,0.04,Frozen Foods,107.79,1077912.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDU35,6.44,Low Fat,0.08,Breads,99.47,994700.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
NCT29,12.60,Low Fat,0.06,Health and Hygiene,122.14,1221414.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDZ27,7.94,Low Fat,0.02,Dairy,48.14,481350.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDN57,18.25,Low Fat,0.05,Snack Foods,140.42,1404154.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDA03,18.50,Regular,0.05,Dairy,145.61,1456102.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDZ36,6.04,Regular,0.07,Baking Goods,185.72,1857240.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
NCU05,11.80,Low Fat,0.06,Health and Hygiene,81.16,811618.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDT39,6.26,Regular,0.01,Meat,151.14,1511366.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDK60,16.50,Regular,0.09,Baking Goods,97.21,972068.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDZ25,15.70,Regular,0.03,Canned,169.28,1692790.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDG12,6.64,reg,0.01,Baking Goods,122.11,1221098.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
DRB01,,low fat,0.14,Soft Drinks,191.55,1915530.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
NCC43,,Low Fat,0.09,Household,250.61,2506066.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDX13,,Low Fat,0.08,Canned,248.61,2486092.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDM22,14.00,Regular,0.04,Snack Foods,53.06,530640.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDJ03,,Regular,0.07,Dairy,48.87,488692.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDU14,17.75,Low Fat,0.00,Dairy,249.78,2497750.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDB33,17.75,Low Fat,0.02,Fruits and Vegetables,159.03,1590262.00,OUT010,6/20/1905,,Tier 3,Grocery Store
FDP27,8.16,Low Fat,0.12,Meat,190.65,1906530.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDO38,17.25,Low Fat,0.12,Canned,76.70,766986.00,OUT010,6/20/1905,,Tier 3,Grocery Store
FDE28,,Regular,0.13,Frozen Foods,232.07,2320668.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDO27,6.18,Regular,0.18,Meat,95.38,953752.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
DRL23,,Low Fat,0.02,Hard Drinks,107.09,1070938.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDS28,8.18,Regular,0.08,Frozen Foods,55.96,559588.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDX24,8.36,Low Fat,0.01,Baking Goods,92.55,925462.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDZ02,6.91,Regular,0.04,Dairy,96.37,963726.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDL46,20.35,Low Fat,0.05,Snack Foods,116.95,1169466.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
FDS60,,Low Fat,0.03,Baking Goods,178.77,1787660.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
NCO06,19.25,Low Fat,0.11,Household,33.06,330558.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDO16,5.48,Low Fat,0.02,Frozen Foods,84.63,846250.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDC60,5.43,Regular,0.11,Baking Goods,87.35,873514.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDA48,12.10,Low Fat,0.12,Baking Goods,220.21,2202114.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDZ36,,Regular,0.00,Baking Goods,186.42,1864240.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDK27,11.00,Low Fat,0.01,Meat,120.68,1206756.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
FDW23,5.77,Low Fat,0.08,Baking Goods,38.82,388164.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDM14,13.80,Low Fat,0.01,Canned,110.13,1101254.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDM14,13.80,Low Fat,0.01,Canned,108.23,1082254.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDW60,5.44,Regular,0.02,Baking Goods,177.84,1778370.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDE21,12.80,Low Fat,0.02,Fruits and Vegetables,116.45,1164492.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
NCM42,6.13,Low Fat,0.03,Household,109.39,1093912.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDY59,8.20,Low Fat,0.05,Baking Goods,93.95,939462.00,OUT010,6/20/1905,,Tier 3,Grocery Store
DRI49,14.15,Low Fat,0.18,Soft Drinks,81.33,813276.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDT28,,Low Fat,0.11,Frozen Foods,151.27,1512708.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDQ22,16.75,Low Fat,0.03,Snack Foods,39.58,395822.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDR60,14.30,LF,0.13,Baking Goods,76.53,765328.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDC50,,LF,0.24,Canned,94.71,947094.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDV24,5.64,Low Fat,0.10,Baking Goods,151.81,1518050.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
DRF48,5.73,Low Fat,0.00,Soft Drinks,188.39,1883898.00,OUT010,6/20/1905,,Tier 3,Grocery Store
FDQ47,7.16,Regular,0.17,Breads,36.59,365874.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
DRN36,15.20,low fat,0.05,Soft Drinks,97.38,973752.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
NCY06,15.25,Low Fat,0.06,Household,128.60,1285968.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDE52,10.40,Regular,0.03,Dairy,89.55,895514.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
NCB54,8.76,Low Fat,0.05,Health and Hygiene,126.93,1269336.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
NCF31,9.13,Low Fat,0.05,Household,152.60,1526024.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDJ08,,Low Fat,0.11,Fruits and Vegetables,189.78,1897846.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
NCC07,19.60,Low Fat,0.02,Household,106.10,1060964.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
NCD19,,Low Fat,0.01,Household,53.76,537614.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDL46,20.35,Low Fat,0.00,Snack Foods,118.95,1189466.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDM20,10.00,Low Fat,0.04,Fruits and Vegetables,246.21,2462144.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
NCI06,11.30,Low Fat,0.08,Household,180.47,1804660.00,OUT010,6/20/1905,,Tier 3,Grocery Store
DRM11,6.57,Low Fat,0.07,Hard Drinks,259.33,2593278.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
NCH07,13.15,Low Fat,0.09,Household,158.46,1584604.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDS23,4.64,Low Fat,0.14,Breads,129.50,1294994.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDO49,10.60,Regular,0.03,Breakfast,49.10,491008.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDS35,9.30,Low Fat,0.11,Breads,65.28,652826.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
DRK39,7.02,Low Fat,0.05,Dairy,82.53,825250.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
DRI39,13.80,Low Fat,0.10,Dairy,58.29,582930.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDV04,7.83,Regular,0.15,Frozen Foods,158.03,1580288.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
NCN14,19.10,Low Fat,0.09,Others,182.56,1825608.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDH08,7.51,Low Fat,0.02,Fruits and Vegetables,231.10,2311010.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
FDS20,8.85,Low Fat,0.05,Fruits and Vegetables,183.03,1830292.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDV40,17.35,Low Fat,0.01,Frozen Foods,75.40,754038.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDZ48,17.75,Low Fat,0.13,Baking Goods,110.55,1105544.00,OUT010,6/20/1905,,Tier 3,Grocery Store
FDS24,,Regular,0.06,Baking Goods,87.55,875514.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDK44,16.60,Low Fat,0.12,Fruits and Vegetables,174.37,1743738.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDS48,15.15,Low Fat,0.00,Baking Goods,150.47,1504708.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
FDK26,5.46,Regular,0.05,Canned,186.92,1869240.00,OUT010,6/20/1905,,Tier 3,Grocery Store
FDD23,9.50,Regular,0.05,Starchy Foods,188.59,1885898.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
NCH54,13.50,LF,0.07,Household,161.49,1614920.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
NCP14,8.28,Low Fat,0.18,Household,106.53,1065306.00,OUT010,6/20/1905,,Tier 3,Grocery Store
FDM60,10.80,Regular,0.08,Baking Goods,39.41,394138.00,OUT010,6/20/1905,,Tier 3,Grocery Store
FDV24,5.64,Low Fat,0.10,Baking Goods,151.31,1513050.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDH08,7.51,Low Fat,0.02,Fruits and Vegetables,228.80,2288010.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDS12,,Low Fat,0.17,Baking Goods,127.64,1276362.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDR39,,Low Fat,0.08,Meat,180.63,1806292.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDP12,,Regular,0.05,Baking Goods,36.49,364874.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
DRF60,,Low Fat,0.05,Soft Drinks,236.46,2364564.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDC09,15.50,Regular,0.03,Fruits and Vegetables,102.73,1027332.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDF50,4.91,low fat,0.12,Canned,198.58,1985768.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDG28,9.29,Regular,0.05,Frozen Foods,243.91,2439144.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
NCE19,8.97,Low Fat,0.09,Household,55.50,554956.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
NCM53,18.75,Low Fat,0.09,Health and Hygiene,108.23,1082280.00,OUT010,6/20/1905,,Tier 3,Grocery Store
NCN18,8.90,Low Fat,0.00,Household,110.95,1109544.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDF32,16.35,Low Fat,0.07,Fruits and Vegetables,199.14,1991426.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDF11,10.20,Regular,0.02,Starchy Foods,239.45,2394538.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
DRI59,9.50,Low Fat,0.04,Hard Drinks,225.21,2252088.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
NCG54,12.10,Low Fat,0.08,Household,169.51,1695106.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDM44,12.50,Low Fat,0.03,Fruits and Vegetables,101.40,1013990.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDT57,15.20,Low Fat,0.02,Snack Foods,236.22,2362248.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDV24,5.64,Low Fat,0.10,Baking Goods,151.21,1512050.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDI50,,Regular,0.05,Canned,227.84,2278352.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDS09,8.90,Regular,0.08,Snack Foods,51.20,512008.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
NCC31,,Low Fat,0.02,Household,154.60,1545972.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDQ07,,Regular,0.15,Fruits and Vegetables,219.05,2190456.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDC22,6.89,Regular,0.14,Snack Foods,191.88,1918820.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDZ56,16.25,Low Fat,0.03,Fruits and Vegetables,169.35,1693474.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDZ40,,Low Fat,0.07,Frozen Foods,53.93,539298.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDS46,,Regular,0.05,Snack Foods,118.38,1183782.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
DRD24,13.85,Low Fat,0.03,Soft Drinks,140.62,1406154.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
FDV45,16.75,Low Fat,0.05,Snack Foods,189.16,1891556.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDL26,18.00,Low Fat,0.07,Canned,155.80,1557972.00,OUT045,6/24/1905,,Tier 2,Supermarket Type1
FDA56,9.21,Low Fat,0.01,Fruits and Vegetables,123.04,1230414.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDN27,20.85,Low Fat,0.04,Meat,118.18,1181808.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDM20,10.00,Low Fat,0.04,Fruits and Vegetables,245.01,2450144.00,OUT049,6/21/1905,Medium,Tier 1,Supermarket Type1
FDO16,5.48,Low Fat,0.02,Frozen Foods,82.83,828250.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDL03,19.25,Regular,0.03,Meat,195.61,1956110.00,OUT035,6/26/1905,Small,Tier 2,Supermarket Type1
FDE58,18.50,Low Fat,0.05,Snack Foods,117.01,1170124.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
FDI02,,Regular,0.11,Canned,112.22,1122202.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
NCC55,,LF,0.11,Household,38.88,388848.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDR03,15.70,Regular,0.01,Meat,205.80,2057980.00,OUT018,7/1/1905,Medium,Tier 3,Supermarket Type2
FDB14,20.25,Regular,0.10,Canned,92.61,926120.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDR45,10.80,LF,0.03,Snack Foods,240.92,2409222.00,OUT013,6/9/1905,High,Tier 3,Supermarket Type1
NCN07,18.50,Low Fat,0.03,Others,130.03,1300284.00,OUT017,6/29/1905,,Tier 2,Supermarket Type1
FDM51,,Regular,0.05,Meat,102.27,1022674.00,OUT019,6/7/1905,Small,Tier 1,Grocery Store
FDT52,,Regular,0.05,Frozen Foods,244.91,2449144.00,OUT027,6/7/1905,Medium,Tier 3,Supermarket Type3
FDL26,18.00,Low Fat,0.07,Canned,154.30,1542972.00,OUT046,6/19/1905,Small,Tier 1,Supermarket Type1
