Store,Date, Weekly_Sales ,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1.00,9/12/2011," 1,799,682.38 ",0,43.93,3.16,218.96,7.87
1.00,16-12-2011," 1,881,176.67 ",0,51.63,3.16,219.18,7.87
1.00,23-12-2011," 2,270,188.99 ",0,47.96,3.11,219.36,7.87
1.00,30-12-2011," 1,497,462.72 ",1,44.55,3.13,219.54,7.87
1.00,6/1/2012," 1,550,369.92 ",0,49.01,3.16,219.71,7.35
1.00,13-01-2012," 1,459,601.17 ",0,48.53,3.26,219.89,7.35
1.00,20-01-2012," 1,394,393.84 ",0,54.11,3.27,219.99,7.35
1.00,27-01-2012," 1,319,325.59 ",0,54.26,3.29,220.08,7.35
1.00,3/2/2012," 1,636,339.65 ",0,56.55,3.36,220.17,7.35
1.00,10/2/2012," 1,802,477.43 ",1,48.02,3.41,220.27,7.35
1.00,17-02-2012," 1,819,870.00 ",0,45.32,3.51,220.43,7.35
1.00,24-02-2012," 1,539,387.83 ",0,57.25,3.56,220.64,7.35
1.00,2/3/2012," 1,688,420.76 ",0,60.96,3.63,220.85,7.35
1.00,9/3/2012," 1,675,431.16 ",0,58.76,3.67,221.06,7.35
1.00,16-03-2012," 1,677,472.78 ",0,64.74,3.73,221.21,7.35
1.00,23-03-2012," 1,511,068.07 ",0,65.93,3.79,221.29,7.35
1.00,30-03-2012," 1,649,604.63 ",0,67.61,3.85,221.36,7.35
1.00,6/4/2012," 1,899,676.88 ",0,70.43,3.89,221.44,7.14
1.00,13-04-2012," 1,621,031.70 ",0,69.07,3.89,221.51,7.14
1.00,20-04-2012," 1,521,577.87 ",0,66.76,3.88,221.56,7.14
1.00,27-04-2012," 1,468,928.37 ",0,67.23,3.81,221.62,7.14
1.00,4/5/2012," 1,684,519.99 ",0,75.55,3.75,221.67,7.14
1.00,11/5/2012," 1,611,096.05 ",0,73.77,3.69,221.73,7.14
1.00,18-05-2012," 1,595,901.87 ",0,70.33,3.63,221.74,7.14
1.00,25-05-2012," 1,555,444.55 ",0,77.22,3.56,221.74,7.14
1.00,1/6/2012," 1,624,477.58 ",0,77.95,3.50,221.75,7.14
1.00,8/6/2012," 1,697,230.96 ",0,78.30,3.45,221.75,7.14
1.00,15-06-2012," 1,630,607.00 ",0,79.35,3.39,221.76,7.14
1.00,22-06-2012," 1,527,845.81 ",0,78.39,3.35,221.80,7.14
1.00,29-06-2012," 1,540,421.49 ",0,84.88,3.29,221.84,7.14
1.00,6/7/2012," 1,769,854.16 ",0,81.57,3.23,221.88,6.91
1.00,13-07-2012," 1,527,014.04 ",0,77.12,3.26,221.92,6.91
1.00,20-07-2012," 1,497,954.76 ",0,80.42,3.31,221.93,6.91
1.00,27-07-2012," 1,439,123.71 ",0,82.66,3.41,221.94,6.91
1.00,3/8/2012," 1,631,135.79 ",0,86.11,3.42,221.95,6.91
1.00,10/8/2012," 1,592,409.97 ",0,85.05,3.49,221.96,6.91
1.00,17-08-2012," 1,597,868.05 ",0,84.85,3.57,222.04,6.91
1.00,24-08-2012," 1,494,122.38 ",0,77.66,3.62,222.17,6.91
1.00,31-08-2012," 1,582,083.40 ",0,80.49,3.64,222.31,6.91
1.00,7/9/2012," 1,661,767.33 ",1,83.96,3.73,222.44,6.91
1.00,14-09-2012," 1,517,428.87 ",0,74.97,3.72,222.58,6.91
1.00,21-09-2012," 1,506,126.06 ",0,69.87,3.72,222.78,6.91
1.00,28-09-2012," 1,437,059.26 ",0,76.08,3.67,222.98,6.91
1.00,5/10/2012," 1,670,785.97 ",0,68.55,3.62,223.18,6.57
1.00,12/10/2012," 1,573,072.81 ",0,62.99,3.60,223.38,6.57
1.00,19-10-2012," 1,508,068.77 ",0,67.97,3.59,223.43,6.57
1.00,26-10-2012," 1,493,659.74 ",0,69.16,3.51,223.44,6.57
2.00,5/2/2010," 2,136,989.46 ",0,40.19,2.57,210.75,8.32
2.00,12/2/2010," 2,137,809.50 ",1,38.49,2.55,210.90,8.32
2.00,19-02-2010," 2,124,451.54 ",0,39.69,2.51,210.95,8.32
2.00,26-02-2010," 1,865,097.27 ",0,46.10,2.56,210.98,8.32
2.00,5/3/2010," 1,991,013.13 ",0,47.17,2.63,211.01,8.32
2.00,12/3/2010," 1,990,483.78 ",0,57.56,2.67,211.04,8.32
2.00,19-03-2010," 1,946,070.88 ",0,54.52,2.72,210.87,8.32
2.00,26-03-2010," 1,750,197.81 ",0,51.26,2.73,210.68,8.32
2.00,2/4/2010," 2,066,187.72 ",0,63.27,2.72,210.48,8.20
2.00,9/4/2010," 1,954,689.21 ",0,65.41,2.77,210.28,8.20
2.00,16-04-2010," 1,874,957.94 ",0,68.07,2.81,210.15,8.20
2.00,23-04-2010," 1,821,990.93 ",0,65.11,2.80,210.10,8.20
2.00,30-04-2010," 1,802,450.29 ",0,66.98,2.78,210.05,8.20
2.00,7/5/2010," 2,042,581.71 ",0,71.28,2.84,210.00,8.20
2.00,14-05-2010," 1,880,752.36 ",0,73.31,2.85,210.00,8.20
2.00,21-05-2010," 1,896,937.10 ",0,74.83,2.83,210.28,8.20
2.00,28-05-2010," 1,957,113.89 ",0,81.13,2.76,210.56,8.20
2.00,4/6/2010," 2,102,539.93 ",0,81.81,2.71,210.83,8.20
2.00,11/6/2010," 2,025,538.76 ",0,83.40,2.67,211.11,8.20
2.00,18-06-2010," 2,001,636.96 ",0,85.81,2.64,211.11,8.20
2.00,25-06-2010," 1,939,927.09 ",0,86.26,2.65,211.00,8.20
2.00,2/7/2010," 2,003,940.64 ",0,82.74,2.67,210.88,8.10
2.00,9/7/2010," 1,880,902.62 ",0,82.59,2.64,210.77,8.10
2.00,16-07-2010," 1,845,879.79 ",0,85.32,2.62,210.76,8.10
2.00,23-07-2010," 1,781,717.71 ",0,87.66,2.61,210.89,8.10
2.00,30-07-2010," 1,804,246.16 ",0,83.49,2.64,211.03,8.10
2.00,6/8/2010," 1,991,909.98 ",0,89.53,2.63,211.16,8.10
2.00,13-08-2010," 1,895,601.05 ",0,89.05,2.69,211.30,8.10
2.00,20-08-2010," 1,964,335.23 ",0,88.70,2.66,211.26,8.10
2.00,27-08-2010," 1,863,840.49 ",0,87.12,2.62,211.22,8.10
2.00,3/9/2010," 1,904,608.09 ",0,81.83,2.58,211.19,8.10
2.00,10/9/2010," 1,839,128.83 ",1,79.09,2.57,211.15,8.10
2.00,17-09-2010," 1,793,903.60 ",0,82.05,2.58,211.18,8.10
2.00,24-09-2010," 1,724,557.22 ",0,81.79,2.62,211.26,8.10
2.00,1/10/2010," 1,827,440.43 ",0,69.24,2.60,211.33,8.16
2.00,8/10/2010," 1,849,921.44 ",0,63.19,2.63,211.40,8.16
2.00,15-10-2010," 1,794,355.49 ",0,65.80,2.72,211.47,8.16
2.00,22-10-2010," 1,737,947.64 ",0,68.50,2.73,211.52,8.16
2.00,29-10-2010," 1,802,755.11 ",0,66.24,2.72,211.57,8.16
2.00,5/11/2010," 1,939,061.41 ",0,57.85,2.69,211.61,8.16
2.00,12/11/2010," 1,916,812.74 ",0,59.69,2.73,211.66,8.16
2.00,19-11-2010," 1,956,739.17 ",0,50.81,2.77,211.55,8.16
2.00,26-11-2010," 2,658,725.29 ",1,62.98,2.74,211.41,8.16
2.00,3/12/2010," 2,015,781.27 ",0,49.33,2.71,211.27,8.16
2.00,10/12/2010," 2,378,726.55 ",0,45.50,2.84,211.12,8.16
2.00,17-12-2010," 2,609,166.75 ",0,47.55,2.87,211.06,8.16
2.00,24-12-2010," 3,436,007.68 ",0,49.97,2.89,211.06,8.16
2.00,31-12-2010," 1,750,434.55 ",1,47.30,2.94,211.06,8.16
2.00,7/1/2011," 1,758,050.79 ",0,44.69,2.98,211.06,8.03
2.00,14-01-2011," 1,744,193.58 ",0,33.02,2.98,211.12,8.03
2.00,21-01-2011," 1,751,384.90 ",0,41.40,3.02,211.49,8.03
2.00,28-01-2011," 1,695,371.68 ",0,42.83,3.01,211.86,8.03
2.00,4/2/2011," 1,929,346.23 ",0,38.25,2.99,212.22,8.03
2.00,11/2/2011," 2,168,041.61 ",1,33.19,3.02,212.59,8.03
2.00,18-02-2011," 2,080,884.82 ",0,57.83,3.05,212.90,8.03
2.00,25-02-2011," 1,833,511.08 ",0,60.80,3.07,213.19,8.03
2.00,4/3/2011," 1,981,607.78 ",0,57.77,3.29,213.48,8.03
2.00,11/3/2011," 1,879,107.31 ",0,52.70,3.46,213.76,8.03
2.00,18-03-2011," 1,902,557.66 ",0,62.32,3.49,214.02,8.03
2.00,25-03-2011," 1,766,162.05 ",0,69.42,3.47,214.25,8.03
2.00,1/4/2011," 1,800,171.36 ",0,55.43,3.52,214.49,7.93
2.00,8/4/2011," 1,847,552.61 ",0,67.00,3.62,214.73,7.93
2.00,15-04-2011," 1,856,467.84 ",0,69.48,3.74,214.94,7.93
2.00,22-04-2011," 1,886,339.60 ",0,69.39,3.81,215.11,7.93
2.00,29-04-2011," 1,745,545.28 ",0,69.21,3.81,215.28,7.93
2.00,6/5/2011," 1,837,743.60 ",0,61.48,3.91,215.44,7.93
2.00,13-05-2011," 1,838,513.07 ",0,74.61,3.90,215.61,7.93
2.00,20-05-2011," 1,688,281.86 ",0,67.14,3.91,215.38,7.93
2.00,27-05-2011," 1,797,732.56 ",0,76.42,3.79,215.15,7.93
2.00,3/6/2011," 1,933,756.21 ",0,83.07,3.70,214.93,7.93
2.00,10/6/2011," 1,929,153.16 ",0,83.40,3.65,214.70,7.93
2.00,17-06-2011," 1,953,771.99 ",0,86.53,3.64,214.65,7.93
2.00,24-06-2011," 1,790,925.80 ",0,85.17,3.59,214.74,7.93
2.00,1/7/2011," 1,866,243.00 ",0,85.69,3.52,214.84,7.85
2.00,8/7/2011," 1,853,161.99 ",0,87.70,3.48,214.93,7.85
2.00,15-07-2011," 1,785,187.29 ",0,89.83,3.58,215.01,7.85
2.00,22-07-2011," 1,743,816.41 ",0,89.34,3.65,215.07,7.85
2.00,29-07-2011," 1,680,693.06 ",0,90.07,3.68,215.14,7.85
2.00,5/8/2011," 1,876,704.26 ",0,93.34,3.68,215.20,7.85
2.00,12/8/2011," 1,812,768.26 ",0,91.58,3.64,215.26,7.85
2.00,19-08-2011," 1,844,094.59 ",0,89.86,3.55,215.32,7.85
2.00,26-08-2011," 1,821,139.91 ",0,90.45,3.52,215.39,7.85
2.00,2/9/2011," 1,809,119.70 ",0,89.64,3.53,215.45,7.85
2.00,9/9/2011," 1,748,000.65 ",1,77.97,3.55,215.51,7.85
2.00,16-09-2011," 1,691,439.52 ",0,78.85,3.53,215.69,7.85
2.00,23-09-2011," 1,669,299.78 ",0,75.58,3.47,216.03,7.85
2.00,30-09-2011," 1,650,394.44 ",0,78.14,3.36,216.36,7.85
2.00,7/10/2011," 1,837,553.43 ",0,69.92,3.29,216.70,7.44
2.00,14-10-2011," 1,743,882.19 ",0,71.67,3.27,217.00,7.44
2.00,21-10-2011," 1,834,680.25 ",0,64.53,3.35,217.17,7.44
2.00,28-10-2011," 1,769,296.25 ",0,65.87,3.37,217.33,7.44
2.00,4/11/2011," 1,959,707.90 ",0,55.53,3.33,217.49,7.44
2.00,11/11/2011," 1,920,725.15 ",0,59.33,3.30,217.65,7.44
2.00,18-11-2011," 1,902,762.50 ",0,62.01,3.31,217.87,7.44
2.00,25-11-2011," 2,614,202.30 ",1,56.36,3.24,218.11,7.44
2.00,2/12/2011," 1,954,952.00 ",0,48.74,3.17,218.36,7.44
2.00,9/12/2011," 2,290,549.32 ",0,41.76,3.16,218.61,7.44
2.00,16-12-2011," 2,432,736.52 ",0,50.13,3.16,218.82,7.44
2.00,23-12-2011," 3,224,369.80 ",0,46.66,3.11,219.00,7.44
2.00,30-12-2011," 1,874,226.52 ",1,44.57,3.13,219.18,7.44
2.00,6/1/2012," 1,799,520.14 ",0,46.75,3.16,219.36,7.06
2.00,13-01-2012," 1,744,725.48 ",0,45.99,3.26,219.53,7.06
2.00,20-01-2012," 1,711,769.11 ",0,51.70,3.27,219.63,7.06
2.00,27-01-2012," 1,660,906.14 ",0,50.50,3.29,219.72,7.06
2.00,3/2/2012," 1,935,299.94 ",0,55.21,3.36,219.81,7.06
2.00,10/2/2012," 2,103,322.68 ",1,46.98,3.41,219.90,7.06
2.00,17-02-2012," 2,196,688.46 ",0,43.82,3.51,220.07,7.06
2.00,24-02-2012," 1,861,802.70 ",0,54.63,3.56,220.28,7.06
2.00,2/3/2012," 1,952,555.66 ",0,58.79,3.63,220.49,7.06
2.00,9/3/2012," 1,937,628.26 ",0,57.11,3.67,220.70,7.06
2.00,16-03-2012," 1,976,082.13 ",0,63.68,3.73,220.85,7.06
2.00,23-03-2012," 1,790,439.16 ",0,64.01,3.79,220.92,7.06
2.00,30-03-2012," 1,857,480.84 ",0,66.83,3.85,221.00,7.06
2.00,6/4/2012," 2,129,035.91 ",0,68.43,3.89,221.07,6.89
2.00,13-04-2012," 1,935,869.10 ",0,68.08,3.89,221.15,6.89
2.00,20-04-2012," 1,847,344.45 ",0,65.69,3.88,221.20,6.89
2.00,27-04-2012," 1,764,133.09 ",0,67.20,3.81,221.26,6.89
2.00,4/5/2012," 1,923,957.09 ",0,76.73,3.75,221.31,6.89
2.00,11/5/2012," 1,917,520.99 ",0,73.87,3.69,221.36,6.89
2.00,18-05-2012," 2,000,940.67 ",0,71.27,3.63,221.38,6.89
2.00,25-05-2012," 1,912,791.09 ",0,78.19,3.56,221.38,6.89
2.00,1/6/2012," 1,910,092.37 ",0,78.38,3.50,221.39,6.89
2.00,8/6/2012," 2,010,216.49 ",0,78.69,3.45,221.39,6.89
2.00,15-06-2012," 1,962,924.30 ",0,80.56,3.39,221.40,6.89
2.00,22-06-2012," 1,887,733.21 ",0,81.04,3.35,221.44,6.89
2.00,29-06-2012," 1,881,046.12 ",0,86.32,3.29,221.48,6.89
2.00,6/7/2012," 2,041,507.40 ",0,84.20,3.23,221.52,6.57
2.00,13-07-2012," 1,830,075.13 ",0,80.17,3.26,221.56,6.57
2.00,20-07-2012," 1,819,666.46 ",0,83.23,3.31,221.57,6.57
2.00,27-07-2012," 1,757,923.88 ",0,86.37,3.41,221.58,6.57
2.00,3/8/2012," 1,946,104.64 ",0,90.22,3.42,221.59,6.57
2.00,10/8/2012," 1,866,719.96 ",0,88.55,3.49,221.60,6.57
2.00,17-08-2012," 1,928,016.01 ",0,84.79,3.57,221.68,6.57
2.00,24-08-2012," 1,876,788.15 ",0,76.91,3.62,221.81,6.57
2.00,31-08-2012," 1,947,083.30 ",0,82.64,3.64,221.94,6.57
2.00,7/9/2012," 1,898,777.07 ",1,87.65,3.73,222.07,6.57
2.00,14-09-2012," 1,814,806.63 ",0,75.88,3.72,222.22,6.57
2.00,21-09-2012," 1,829,415.67 ",0,71.09,3.72,222.42,6.57
2.00,28-09-2012," 1,746,470.56 ",0,79.45,3.67,222.62,6.57
2.00,5/10/2012," 1,998,321.04 ",0,70.27,3.62,222.82,6.17
2.00,12/10/2012," 1,900,745.13 ",0,60.97,3.60,223.02,6.17
2.00,19-10-2012," 1,847,990.41 ",0,68.08,3.59,223.06,6.17
2.00,26-10-2012," 1,834,458.35 ",0,69.79,3.51,223.08,6.17
3.00,5/2/2010," 461,622.22 ",0,45.71,2.57,214.42,7.37
3.00,12/2/2010," 420,728.96 ",1,47.93,2.55,214.57,7.37
3.00,19-02-2010," 421,642.19 ",0,47.07,2.51,214.62,7.37
3.00,26-02-2010," 407,204.86 ",0,52.05,2.56,214.65,7.37
3.00,5/3/2010," 415,202.04 ",0,53.04,2.63,214.68,7.37
3.00,12/3/2010," 384,200.69 ",0,63.08,2.67,214.70,7.37
3.00,19-03-2010," 375,328.59 ",0,60.42,2.72,214.53,7.37
3.00,26-03-2010," 359,949.27 ",0,57.06,2.73,214.32,7.37
3.00,2/4/2010," 423,294.40 ",0,65.56,2.72,214.12,7.34
3.00,9/4/2010," 415,870.28 ",0,68.00,2.77,213.91,7.34
3.00,16-04-2010," 354,993.26 ",0,66.98,2.81,213.77,7.34
3.00,23-04-2010," 339,976.65 ",0,67.87,2.80,213.72,7.34
3.00,30-04-2010," 361,248.39 ",0,70.24,2.78,213.67,7.34
3.00,7/5/2010," 399,323.86 ",0,73.47,2.84,213.62,7.34
3.00,14-05-2010," 384,357.94 ",0,77.18,2.85,213.62,7.34
3.00,21-05-2010," 343,763.17 ",0,75.81,2.83,213.91,7.34
3.00,28-05-2010," 350,089.23 ",0,78.60,2.76,214.20,7.34
3.00,4/6/2010," 396,968.80 ",0,78.53,2.71,214.50,7.34
3.00,11/6/2010," 355,017.09 ",0,82.10,2.67,214.79,7.34
3.00,18-06-2010," 364,076.85 ",0,83.52,2.64,214.79,7.34
3.00,25-06-2010," 357,346.48 ",0,83.79,2.65,214.67,7.34
3.00,2/7/2010," 381,151.72 ",0,82.20,2.67,214.55,7.35
3.00,9/7/2010," 349,214.18 ",0,81.75,2.64,214.43,7.35
3.00,16-07-2010," 352,728.78 ",0,84.32,2.62,214.42,7.35
3.00,23-07-2010," 352,864.49 ",0,83.32,2.61,214.56,7.35
3.00,30-07-2010," 347,955.05 ",0,82.04,2.64,214.70,7.35
3.00,6/8/2010," 402,635.76 ",0,85.13,2.63,214.83,7.35
3.00,13-08-2010," 339,597.38 ",0,86.74,2.69,214.97,7.35
3.00,20-08-2010," 351,728.21 ",0,88.02,2.66,214.93,7.35
3.00,27-08-2010," 362,134.09 ",0,86.15,2.62,214.89,7.35
3.00,3/9/2010," 366,473.97 ",0,84.16,2.58,214.85,7.35
3.00,10/9/2010," 352,260.97 ",1,80.84,2.57,214.81,7.35
3.00,17-09-2010," 363,064.64 ",0,82.36,2.58,214.83,7.35
3.00,24-09-2010," 355,626.87 ",0,76.90,2.62,214.91,7.35
3.00,1/10/2010," 358,784.10 ",0,73.60,2.60,214.98,7.56
3.00,8/10/2010," 395,107.35 ",0,66.99,2.63,215.06,7.56
3.00,15-10-2010," 345,584.39 ",0,69.71,2.72,215.13,7.56
3.00,22-10-2010," 348,895.98 ",0,71.64,2.73,215.18,7.56
3.00,29-10-2010," 348,591.74 ",0,72.04,2.72,215.23,7.56
3.00,5/11/2010," 423,175.56 ",0,62.94,2.69,215.28,7.56
3.00,12/11/2010," 386,635.03 ",0,62.79,2.73,215.33,7.56
3.00,19-11-2010," 372,545.32 ",0,57.72,2.77,215.21,7.56
3.00,26-11-2010," 565,567.84 ",1,68.71,2.74,215.06,7.56
3.00,3/12/2010," 476,420.77 ",0,53.76,2.71,214.92,7.56
3.00,10/12/2010," 467,642.03 ",0,51.13,2.84,214.77,7.56
3.00,17-12-2010," 498,159.39 ",0,52.20,2.87,214.70,7.56
3.00,24-12-2010," 605,990.41 ",0,57.16,2.89,214.70,7.56
3.00,31-12-2010," 382,677.76 ",1,53.20,2.94,214.70,7.56
3.00,7/1/2011," 378,241.34 ",0,53.35,2.98,214.70,7.55
3.00,14-01-2011," 381,061.10 ",0,44.76,2.98,214.75,7.55
3.00,21-01-2011," 350,876.70 ",0,50.74,3.02,215.13,7.55
3.00,28-01-2011," 364,866.24 ",0,48.71,3.01,215.51,7.55
3.00,4/2/2011," 438,516.53 ",0,45.95,2.99,215.89,7.55
3.00,11/2/2011," 430,526.21 ",1,43.57,3.02,216.27,7.55
3.00,18-02-2011," 432,782.10 ",0,61.58,3.05,216.58,7.55
3.00,25-02-2011," 397,211.19 ",0,67.40,3.07,216.88,7.55
3.00,4/3/2011," 437,084.51 ",0,65.11,3.29,217.17,7.55
3.00,11/3/2011," 404,753.30 ",0,61.29,3.46,217.47,7.55
3.00,18-03-2011," 392,109.51 ",0,69.47,3.49,217.72,7.55
3.00,25-03-2011," 380,683.67 ",0,72.94,3.47,217.97,7.55
3.00,1/4/2011," 374,556.08 ",0,68.76,3.52,218.21,7.57
3.00,8/4/2011," 384,075.31 ",0,72.55,3.62,218.46,7.57
3.00,15-04-2011," 366,250.69 ",0,75.88,3.74,218.68,7.57
3.00,22-04-2011," 391,860.04 ",0,76.91,3.81,218.85,7.57
