ProductID,Weight,FatContent,ProductVisibility,ProductType,Unit Price,Quantity,Total Sales,OutletID,Year,OutletSize,LocationType,OutletType
FDX22,7,Regular,0,Snack Foods,209,10000,2094928,OUT010,1998,,Tier 3,Grocery Store
NCF19,13,Low Fat,0,Household,48,10001,476034,OUT035,2004,Small,Tier 2,Supermarket Type1
NCE06,6,Low Fat,0,Household,161,10000,1613894,OUT046,1997,Small,Tier 1,Supermarket Type1
DRC27,14,Low Fat,0,Dairy,245,10000,2446802,OUT046,1997,Small,Tier 1,Supermarket Type1
FDE21,13,LF,0,Fruits and Vegetables,117,10000,1165492,OUT035,2004,Small,Tier 2,Supermarket Type1
NCR42,,Low Fat,0,Household,32,10000,320900,OUT019,1985,Small,Tier 1,Grocery Store
FDX51,10,Regular,0,Meat,195,10000,1949452,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCR06,13,Low Fat,0,Household,42,10000,424112,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDU31,,Regular,0,Fruits and Vegetables,218,10000,2177508,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDU59,6,Low Fat,0,Breads,164,10000,1642552,OUT017,2007,,Tier 2,Supermarket Type1
FDR03,,Regular,0,Meat,205,10000,2050980,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDS49,,Low Fat,0,Canned,80,10001,803644,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDD48,10,Low Fat,0,Baking Goods,114,10000,1140176,OUT010,1998,,Tier 3,Grocery Store
NCF18,18,Low Fat,0,Household,192,10000,1921504,OUT017,2007,,Tier 2,Supermarket Type1
NCD43,,Low Fat,0,Household,103,10000,1033964,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCD54,21,Low Fat,0,Household,143,10000,1433786,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDY19,20,LF,0,Fruits and Vegetables,117,10000,1166466,OUT010,1998,,Tier 3,Grocery Store
NCY54,8,Low Fat,0,Household,174,10000,1739422,OUT017,2007,,Tier 2,Supermarket Type1
NCL19,15,Low Fat,0,Others,145,10000,1448470,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDP23,7,Low Fat,0,Breads,217,10000,2172166,OUT010,1998,,Tier 3,Grocery Store
FDC26,10,Low Fat,0,Canned,112,10000,1121886,OUT013,1987,High,Tier 3,Supermarket Type1
FDR14,12,Low Fat,0,Dairy,56,10000,558298,OUT010,1998,,Tier 3,Grocery Store
NCS41,13,Low Fat,0,Health and Hygiene,183,10000,1832608,OUT035,2004,Small,Tier 2,Supermarket Type1
FDF41,12,Low Fat,0,Frozen Foods,248,10000,2481460,OUT035,2004,Small,Tier 2,Supermarket Type1
FDU34,18,Low Fat,0,Snack Foods,125,10000,1249046,OUT046,1997,Small,Tier 1,Supermarket Type1
DRH11,6,Low Fat,0,Hard Drinks,57,10000,570614,OUT046,1997,Small,Tier 1,Supermarket Type1
FDM03,13,Low Fat,0,Meat,107,10000,1066938,OUT013,1987,High,Tier 3,Supermarket Type1
FDS31,13,Regular,0,Fruits and Vegetables,181,10000,1810318,OUT017,2007,,Tier 2,Supermarket Type1
FDJ20,21,Regular,0,Fruits and Vegetables,122,10000,1223388,OUT017,2007,,Tier 2,Supermarket Type1
FDV44,,Regular,0,Fruits and Vegetables,189,10000,1887188,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDG02,8,Low Fat,0,Canned,189,10000,1888188,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDA09,13,Regular,0,Snack Foods,180,10000,1796660,OUT013,1987,High,Tier 3,Supermarket Type1
FDT04,17,LF,0,Frozen Foods,38,10001,383822,OUT013,1987,High,Tier 3,Supermarket Type1
FDL58,,Regular,0,Snack Foods,263,10000,2632568,OUT019,1985,Small,Tier 1,Grocery Store
FDE52,10,Regular,0,Dairy,90,10000,901514,OUT045,2002,,Tier 2,Supermarket Type1
FDW12,8,Regular,0,Baking Goods,145,10000,1448444,OUT035,2004,Small,Tier 2,Supermarket Type1
FDL51,21,Regular,0,Dairy,215,10000,2149876,OUT017,2007,,Tier 2,Supermarket Type1
NCY42,,Low Fat,0,Household,141,10000,1413470,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDR07,21,Low Fat,0,Fruits and Vegetables,97,10000,968094,OUT017,2007,,Tier 2,Supermarket Type1
FDN40,6,Low Fat,0,Frozen Foods,153,10000,1526998,OUT045,2002,,Tier 2,Supermarket Type1
FDB35,,Regular,0,Starchy Foods,90,10000,903804,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDA22,7,low fat,0,Starchy Foods,166,10000,1658158,OUT017,2007,,Tier 2,Supermarket Type1
NCL06,15,Low Fat,0,Household,263,10000,2625594,OUT046,1997,Small,Tier 1,Supermarket Type1
FDI35,14,Low Fat,0,Starchy Foods,181,10000,1812634,OUT013,1987,High,Tier 3,Supermarket Type1
NCW42,18,Low Fat,0,Household,222,10000,2216456,OUT045,2002,,Tier 2,Supermarket Type1
NCX06,18,Low Fat,0,Household,180,10000,1800976,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDC37,,Low Fat,0,Baking Goods,108,10000,1081938,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDZ14,8,Regular,0,Dairy,122,10000,1223756,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRG49,8,Low Fat,0,Soft Drinks,245,10000,2452486,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCG06,16,Low Fat,0,Household,256,10000,2562646,OUT045,2002,,Tier 2,Supermarket Type1
DRC36,13,Regular,0,Soft Drinks,174,10000,1737054,OUT045,2002,,Tier 2,Supermarket Type1
FDV21,,Low Fat,0,Snack Foods,125,10000,1248704,OUT019,1985,Small,Tier 1,Grocery Store
FDB53,13,Low Fat,0,Frozen Foods,149,10000,1486392,OUT046,1997,Small,Tier 1,Supermarket Type1
DRP47,,Low Fat,0,Hard Drinks,252,10000,2524382,OUT019,1985,Small,Tier 1,Grocery Store
FDA14,16,LF,0,Dairy,145,10000,1451760,OUT013,1987,High,Tier 3,Supermarket Type1
DRC24,18,Low Fat,0,Soft Drinks,153,10000,1526998,OUT035,2004,Small,Tier 2,Supermarket Type1
FDW21,5,Regular,0,Snack Foods,101,10000,1006358,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCH29,6,Low Fat,0,Health and Hygiene,97,10000,973726,OUT046,1997,Small,Tier 1,Supermarket Type1
FDU58,7,Regular,0,Snack Foods,189,10000,1886898,OUT013,1987,High,Tier 3,Supermarket Type1
FDY27,6,Low Fat,0,Dairy,178,10000,1776344,OUT017,2007,,Tier 2,Supermarket Type1
FDV56,16,Regular,0,Fruits and Vegetables,109,10000,1089596,OUT035,2004,Small,Tier 2,Supermarket Type1
FDT59,14,LF,0,Breads,231,10000,2305668,OUT046,1997,Small,Tier 1,Supermarket Type1
FDB23,19,Regular,0,Starchy Foods,226,10000,2255062,OUT046,1997,Small,Tier 1,Supermarket Type1
FDR49,9,Low Fat,0,Canned,46,9999,462376,OUT045,2002,,Tier 2,Supermarket Type1
FDB03,18,Regular,0,Dairy,242,10000,2422538,OUT010,1998,,Tier 3,Grocery Store
FDN39,19,Regular,0,Meat,166,10000,1657816,OUT045,2002,,Tier 2,Supermarket Type1
FDX02,,Low Fat,0,Dairy,223,10000,2231404,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDQ16,,Low Fat,0,Frozen Foods,108,10000,1077912,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDU35,6,Low Fat,0,Breads,99,10000,994700,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCT29,13,Low Fat,0,Health and Hygiene,122,10000,1221414,OUT013,1987,High,Tier 3,Supermarket Type1
FDZ27,8,Low Fat,0,Dairy,48,9999,481350,OUT046,1997,Small,Tier 1,Supermarket Type1
FDN57,18,Low Fat,0,Snack Foods,140,10000,1404154,OUT017,2007,,Tier 2,Supermarket Type1
FDA03,19,Regular,0,Dairy,146,10000,1456102,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDZ36,6,Regular,0,Baking Goods,186,10000,1857240,OUT045,2002,,Tier 2,Supermarket Type1
NCU05,12,Low Fat,0,Health and Hygiene,81,10000,811618,OUT013,1987,High,Tier 3,Supermarket Type1
FDT39,6,Regular,0,Meat,151,10000,1511366,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDK60,17,Regular,0,Baking Goods,97,10000,972068,OUT017,2007,,Tier 2,Supermarket Type1
FDZ25,16,Regular,0,Canned,169,10000,1692790,OUT017,2007,,Tier 2,Supermarket Type1
FDG12,7,reg,0,Baking Goods,122,10000,1221098,OUT046,1997,Small,Tier 1,Supermarket Type1
DRB01,,low fat,0,Soft Drinks,192,10000,1915530,OUT019,1985,Small,Tier 1,Grocery Store
NCC43,,Low Fat,0,Household,251,10000,2506066,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDX13,,Low Fat,0,Canned,249,10000,2486092,OUT019,1985,Small,Tier 1,Grocery Store
FDM22,14,Regular,0,Snack Foods,53,10001,530640,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDJ03,,Regular,0,Dairy,49,10000,488692,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDU14,18,Low Fat,0,Dairy,250,10000,2497750,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDB33,18,Low Fat,0,Fruits and Vegetables,159,10000,1590262,OUT010,1998,,Tier 3,Grocery Store
FDP27,8,Low Fat,0,Meat,191,10000,1906530,OUT046,1997,Small,Tier 1,Supermarket Type1
FDO38,17,Low Fat,0,Canned,77,10000,766986,OUT010,1998,,Tier 3,Grocery Store
FDE28,,Regular,0,Frozen Foods,232,10000,2320668,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDO27,6,Regular,0,Meat,95,10000,953752,OUT035,2004,Small,Tier 2,Supermarket Type1
DRL23,,Low Fat,0,Hard Drinks,107,10000,1070938,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDS28,8,Regular,0,Frozen Foods,56,10000,559588,OUT046,1997,Small,Tier 1,Supermarket Type1
FDX24,8,Low Fat,0,Baking Goods,93,10000,925462,OUT013,1987,High,Tier 3,Supermarket Type1
FDZ02,7,Regular,0,Dairy,96,10000,963726,OUT035,2004,Small,Tier 2,Supermarket Type1
FDL46,20,Low Fat,0,Snack Foods,117,10000,1169466,OUT045,2002,,Tier 2,Supermarket Type1
FDS60,,Low Fat,0,Baking Goods,179,10000,1787660,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCO06,19,Low Fat,0,Household,33,9999,330558,OUT017,2007,,Tier 2,Supermarket Type1
FDO16,5,Low Fat,0,Frozen Foods,85,9999,846250,OUT035,2004,Small,Tier 2,Supermarket Type1
FDC60,5,Regular,0,Baking Goods,87,10000,873514,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDA48,12,Low Fat,0,Baking Goods,220,10000,2202114,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDZ36,,Regular,0,Baking Goods,186,10000,1864240,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDK27,11,Low Fat,0,Meat,121,10000,1206756,OUT045,2002,,Tier 2,Supermarket Type1
FDW23,6,Low Fat,0,Baking Goods,39,9999,388164,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDM14,14,Low Fat,0,Canned,110,10000,1101254,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDM14,14,Low Fat,0,Canned,108,10000,1082254,OUT013,1987,High,Tier 3,Supermarket Type1
FDW60,5,Regular,0,Baking Goods,178,10000,1778370,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDE21,13,Low Fat,0,Fruits and Vegetables,116,10000,1164492,OUT013,1987,High,Tier 3,Supermarket Type1
NCM42,6,Low Fat,0,Household,109,10000,1093912,OUT035,2004,Small,Tier 2,Supermarket Type1
FDY59,8,Low Fat,0,Baking Goods,94,10000,939462,OUT010,1998,,Tier 3,Grocery Store
DRI49,14,Low Fat,0,Soft Drinks,81,10000,813276,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDT28,,Low Fat,0,Frozen Foods,151,10000,1512708,OUT019,1985,Small,Tier 1,Grocery Store
FDQ22,17,Low Fat,0,Snack Foods,40,10001,395822,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDR60,14,LF,0,Baking Goods,77,10000,765328,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDC50,,LF,0,Canned,95,10000,947094,OUT019,1985,Small,Tier 1,Grocery Store
FDV24,6,Low Fat,0,Baking Goods,152,10000,1518050,OUT013,1987,High,Tier 3,Supermarket Type1
DRF48,6,Low Fat,0,Soft Drinks,188,10000,1883898,OUT010,1998,,Tier 3,Grocery Store
FDQ47,7,Regular,0,Breads,37,9999,365874,OUT046,1997,Small,Tier 1,Supermarket Type1
DRN36,15,low fat,0,Soft Drinks,97,10000,973752,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCY06,15,Low Fat,0,Household,129,10000,1285968,OUT035,2004,Small,Tier 2,Supermarket Type1
FDE52,10,Regular,0,Dairy,90,10000,895514,OUT035,2004,Small,Tier 2,Supermarket Type1
NCB54,9,Low Fat,0,Health and Hygiene,127,10000,1269336,OUT045,2002,,Tier 2,Supermarket Type1
NCF31,9,Low Fat,0,Household,153,10000,1526024,OUT035,2004,Small,Tier 2,Supermarket Type1
FDJ08,,Low Fat,0,Fruits and Vegetables,190,10000,1897846,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCC07,20,Low Fat,0,Household,106,10000,1060964,OUT017,2007,,Tier 2,Supermarket Type1
NCD19,,Low Fat,0,Household,54,10000,537614,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDL46,20,Low Fat,0,Snack Foods,119,10000,1189466,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDM20,10,Low Fat,0,Fruits and Vegetables,246,10000,2462144,OUT045,2002,,Tier 2,Supermarket Type1
NCI06,11,Low Fat,0,Household,180,10000,1804660,OUT010,1998,,Tier 3,Grocery Store
DRM11,7,Low Fat,0,Hard Drinks,259,10000,2593278,OUT035,2004,Small,Tier 2,Supermarket Type1
NCH07,13,Low Fat,0,Household,158,10000,1584604,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS23,5,Low Fat,0,Breads,130,10000,1294994,OUT013,1987,High,Tier 3,Supermarket Type1
FDO49,11,Regular,0,Breakfast,49,10000,491008,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS35,9,Low Fat,0,Breads,65,10000,652826,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRK39,7,Low Fat,0,Dairy,83,9999,825250,OUT045,2002,,Tier 2,Supermarket Type1
DRI39,14,Low Fat,0,Dairy,58,10001,582930,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDV04,8,Regular,0,Frozen Foods,158,10000,1580288,OUT017,2007,,Tier 2,Supermarket Type1
NCN14,19,Low Fat,0,Others,183,10000,1825608,OUT035,2004,Small,Tier 2,Supermarket Type1
FDH08,8,Low Fat,0,Fruits and Vegetables,231,10000,2311010,OUT013,1987,High,Tier 3,Supermarket Type1
FDS20,9,Low Fat,0,Fruits and Vegetables,183,10000,1830292,OUT046,1997,Small,Tier 1,Supermarket Type1
FDV40,17,Low Fat,0,Frozen Foods,75,10001,754038,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDZ48,18,Low Fat,0,Baking Goods,111,10000,1105544,OUT010,1998,,Tier 3,Grocery Store
FDS24,,Regular,0,Baking Goods,88,10000,875514,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDK44,17,Low Fat,0,Fruits and Vegetables,174,10000,1743738,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDS48,15,Low Fat,0,Baking Goods,150,10000,1504708,OUT045,2002,,Tier 2,Supermarket Type1
FDK26,5,Regular,0,Canned,187,10000,1869240,OUT010,1998,,Tier 3,Grocery Store
FDD23,10,Regular,0,Starchy Foods,189,10000,1885898,OUT045,2002,,Tier 2,Supermarket Type1
NCH54,14,LF,0,Household,161,10000,1614920,OUT017,2007,,Tier 2,Supermarket Type1
NCP14,8,Low Fat,0,Household,107,10000,1065306,OUT010,1998,,Tier 3,Grocery Store
FDM60,11,Regular,0,Baking Goods,39,10001,394138,OUT010,1998,,Tier 3,Grocery Store
FDV24,6,Low Fat,0,Baking Goods,151,10000,1513050,OUT017,2007,,Tier 2,Supermarket Type1
FDH08,8,Low Fat,0,Fruits and Vegetables,229,10000,2288010,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS12,,Low Fat,0,Baking Goods,128,10000,1276362,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDR39,,Low Fat,0,Meat,181,10000,1806292,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDP12,,Regular,0,Baking Goods,36,9999,364874,OUT027,1985,Medium,Tier 3,Supermarket Type3
DRF60,,Low Fat,0,Soft Drinks,236,10000,2364564,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDC09,16,Regular,0,Fruits and Vegetables,103,10000,1027332,OUT035,2004,Small,Tier 2,Supermarket Type1
FDF50,5,low fat,0,Canned,199,10000,1985768,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDG28,9,Regular,0,Frozen Foods,244,10000,2439144,OUT035,2004,Small,Tier 2,Supermarket Type1
NCE19,9,Low Fat,0,Household,56,9999,554956,OUT017,2007,,Tier 2,Supermarket Type1
NCM53,19,Low Fat,0,Health and Hygiene,108,10000,1082280,OUT010,1998,,Tier 3,Grocery Store
NCN18,9,Low Fat,0,Household,111,10000,1109544,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDF32,16,Low Fat,0,Fruits and Vegetables,199,10000,1991426,OUT035,2004,Small,Tier 2,Supermarket Type1
FDF11,10,Regular,0,Starchy Foods,239,10000,2394538,OUT013,1987,High,Tier 3,Supermarket Type1
DRI59,10,Low Fat,0,Hard Drinks,225,10000,2252088,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCG54,12,Low Fat,0,Household,170,,1695106,OUT035,2004,Small,Tier 2,Supermarket Type1
FDM44,13,Low Fat,0,Fruits and Vegetables,101,,1013990,OUT046,1997,Small,Tier 1,Supermarket Type1
FDT57,15,Low Fat,0,Snack Foods,236,,2362248,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDV24,6,Low Fat,0,Baking Goods,151,,1512050,OUT046,1997,Small,Tier 1,Supermarket Type1
FDI50,,Regular,0,Canned,228,,2278352,OUT019,1985,Small,Tier 1,Grocery Store
FDS09,9,Regular,0,Snack Foods,51,,512008,OUT035,2004,Small,Tier 2,Supermarket Type1
NCC31,,Low Fat,0,Household,155,,1545972,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDQ07,,Regular,0,Fruits and Vegetables,219,,2190456,OUT019,1985,Small,Tier 1,Grocery Store
FDC22,7,Regular,0,Snack Foods,192,,1918820,OUT017,2007,,Tier 2,Supermarket Type1
FDZ56,16,Low Fat,0,Fruits and Vegetables,169,,1693474,OUT046,1997,Small,Tier 1,Supermarket Type1
FDZ40,,Low Fat,0,Frozen Foods,54,,539298,OUT019,1985,Small,Tier 1,Grocery Store
FDS46,,Regular,0,Snack Foods,118,,1183782,OUT027,1985,Medium,Tier 3,Supermarket Type3
DRD24,14,Low Fat,0,Soft Drinks,141,,1406154,OUT045,2002,,Tier 2,Supermarket Type1
FDV45,17,Low Fat,0,Snack Foods,189,,1891556,OUT017,2007,,Tier 2,Supermarket Type1
FDL26,18,Low Fat,0,Canned,156,,1557972,OUT045,2002,,Tier 2,Supermarket Type1
FDA56,9,Low Fat,0,Fruits and Vegetables,123,,1230414,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDN27,21,Low Fat,0,Meat,118,,1181808,OUT046,1997,Small,Tier 1,Supermarket Type1
FDM20,10,Low Fat,0,Fruits and Vegetables,245,,2450144,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDO16,5,Low Fat,0,Frozen Foods,83,,828250,OUT017,2007,,Tier 2,Supermarket Type1
FDL03,19,Regular,0,Meat,196,,1956110,OUT035,2004,Small,Tier 2,Supermarket Type1
FDE58,19,Low Fat,0,Snack Foods,117,,1170124,OUT046,1997,Small,Tier 1,Supermarket Type1
FDI02,,Regular,0,Canned,112,,1122202,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCC55,,LF,0,Household,39,,388848,OUT019,1985,Small,Tier 1,Grocery Store
FDR03,16,Regular,0,Meat,206,,2057980,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDB14,20,Regular,0,Canned,93,,926120,OUT017,2007,,Tier 2,Supermarket Type1
FDR45,11,LF,0,Snack Foods,241,,2409222,OUT013,1987,High,Tier 3,Supermarket Type1
NCN07,19,Low Fat,0,Others,130,,1300284,OUT017,2007,,Tier 2,Supermarket Type1
FDM51,,Regular,0,Meat,102,,1022674,OUT019,1985,Small,Tier 1,Grocery Store
FDT52,,Regular,0,Frozen Foods,245,,2449144,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDL26,18,Low Fat,0,Canned,154,,1542972,OUT046,1997,Small,Tier 1,Supermarket Type1
NCZ42,11,Low Fat,0,Household,239,,2389248,OUT046,1997,Small,Tier 1,Supermarket Type1
DRI47,,Low Fat,0,Hard Drinks,146,,1456128,OUT019,1985,Small,Tier 1,Grocery Store
FDW40,14,Regular,0,Frozen Foods,141,,1411812,OUT013,1987,High,Tier 3,Supermarket Type1
FDN34,16,Regular,0,Snack Foods,169,,1692132,OUT046,1997,Small,Tier 1,Supermarket Type1
FDS01,12,Low Fat,0,Canned,178,,1783686,OUT035,2004,Small,Tier 2,Supermarket Type1
NCG55,16,Low Fat,0,Household,116,,1162176,OUT045,2002,,Tier 2,Supermarket Type1
FDC11,21,Low Fat,0,Starchy Foods,87,,874172,OUT035,2004,Small,Tier 2,Supermarket Type1
FDX35,5,Regular,0,Breads,226,,2264036,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCB06,18,Low Fat,0,Health and Hygiene,160,,1603920,OUT046,1997,Small,Tier 1,Supermarket Type1
FDR09,,Low Fat,0,Snack Foods,260,,2598962,OUT019,1985,Small,Tier 1,Grocery Store
FDC53,9,Low Fat,0,Frozen Foods,97,,969384,OUT017,2007,,Tier 2,Supermarket Type1
FDY45,18,Low Fat,0,Snack Foods,255,,2552356,OUT013,1987,High,Tier 3,Supermarket Type1
FDA22,7,Low Fat,0,Starchy Foods,169,,1685158,OUT010,1998,,Tier 3,Grocery Store
FDE02,9,Low Fat,0,Canned,95,,952778,OUT035,2004,Small,Tier 2,Supermarket Type1
FDW21,5,Regular,0,Snack Foods,101,,1008358,OUT045,2002,,Tier 2,Supermarket Type1
FDV34,11,Regular,0,Snack Foods,74,,736038,OUT046,1997,Small,Tier 1,Supermarket Type1
FDS59,15,Regular,0,Breads,109,,1091570,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCW17,18,Low Fat,0,Health and Hygiene,128,,1278994,OUT017,2007,,Tier 2,Supermarket Type1
NCK54,12,Low Fat,0,Household,117,,1172150,OUT046,1997,Small,Tier 1,Supermarket Type1
FDG17,,Regular,0,Frozen Foods,244,,2442486,OUT019,1985,Small,Tier 1,Grocery Store
FDG35,21,Regular,0,Starchy Foods,173,,1730738,OUT017,2007,,Tier 2,Supermarket Type1
FDD08,8,Low Fat,0,Fruits and Vegetables,38,,378506,OUT010,1998,,Tier 3,Grocery Store
NCO07,9,Low Fat,0,Others,211,,2111560,OUT017,2007,,Tier 2,Supermarket Type1
FDJ10,5,reg,0,Snack Foods,142,,1422838,OUT010,1998,,Tier 3,Grocery Store
FDW36,11,Low Fat,0,Baking Goods,104,,1040622,OUT017,2007,,Tier 2,Supermarket Type1
FDW21,5,Regular,0,Snack Foods,101,,1010358,OUT010,1998,,Tier 3,Grocery Store
FDY19,20,Low Fat,0,Fruits and Vegetables,118,,1180466,OUT017,2007,,Tier 2,Supermarket Type1
DRE03,20,Low Fat,0,Dairy,47,,470718,OUT013,1987,High,Tier 3,Supermarket Type1
NCC55,11,Low Fat,0,Household,38,,381848,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDH52,9,Regular,0,Frozen Foods,64,,636194,OUT010,1998,,Tier 3,Grocery Store
FDO09,14,Regular,0,Snack Foods,265,,2646910,OUT017,2007,,Tier 2,Supermarket Type1
FDU43,19,Regular,0,Fruits and Vegetables,239,,2394564,OUT045,2002,,Tier 2,Supermarket Type1
FDX09,9,Low Fat,0,Snack Foods,175,,1750370,OUT010,1998,,Tier 3,Grocery Store
FDH40,,Regular,0,Frozen Foods,83,,831276,OUT019,1985,Small,Tier 1,Grocery Store
FDW58,21,Low Fat,0,Snack Foods,104,,1044622,OUT017,2007,,Tier 2,Supermarket Type1
FDC47,15,Low Fat,0,Snack Foods,227,,2272694,OUT017,2007,,Tier 2,Supermarket Type1
NCR41,18,LF,0,Health and Hygiene,94,,944094,OUT035,2004,Small,Tier 2,Supermarket Type1
