ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP, Sales , Budgeted sales ,OutletID,Date,OutletSize,LocationType,OutletType
FDP23,6.71,Low Fat,0.059565107,Breads,217.2166," 2,172,166.00 "," 5,956,510.70 ",OUT010,1998,,Tier 3,Grocery Store
FDC26,10.195,Low Fat,0.126277921,Canned,112.1886," 1,121,886.00 "," 12,627,792.10 ",OUT013,1987,High,Tier 3,Supermarket Type1
FDR14,11.65,Low Fat,0.291322397,Dairy,55.8298," 558,298.00 "," 29,132,239.70 ",OUT010,1998,,Tier 3,Grocery Store
NCS41,12.85,Low Fat,0.053433908,Health and Hygiene,183.2608," 1,832,608.00 "," 5,343,390.80 ",OUT035,2004,Small,Tier 2,Supermarket Type1
FDF41,12.15,Low Fat,0.131155007,Frozen Foods,248.146," 2,481,460.00 "," 13,115,500.70 ",OUT035,2004,Small,Tier 2,Supermarket Type1
FDU34,18.25,Low Fat,0.075194929,Snack Foods,124.9046," 1,249,046.00 "," 7,519,492.90 ",OUT046,1997,Small,Tier 1,Supermarket Type1
DRH11,5.98,Low Fat,0.075557965,Hard Drinks,57.0614," 570,614.00 "," 7,555,796.50 ",OUT046,1997,Small,Tier 1,Supermarket Type1
FDM03,12.65,Low Fat,0.122928415,Meat,106.6938," 1,066,938.00 "," 12,292,841.50 ",OUT013,1987,High,Tier 3,Supermarket Type1
FDS31,13.1,Regular,0.044442342,Fruits and Vegetables,181.0318," 1,810,318.00 "," 4,444,234.20 ",OUT017,2007,,Tier 2,Supermarket Type1
FDJ20,20.7,Regular,0.100741569,Fruits and Vegetables,122.3388," 1,223,388.00 "," 10,074,156.90 ",OUT017,2007,,Tier 2,Supermarket Type1
FDV44,,Regular,0.039651481,Fruits and Vegetables,188.7188," 1,887,188.00 "," 3,965,148.10 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDG02,7.855,Low Fat,0.011278673,Canned,188.8188," 1,888,188.00 "," 1,127,867.30 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
FDA09,13.35,Regular,0,Snack Foods,179.666," 1,796,660.00 ", -   ,OUT013,1987,High,Tier 3,Supermarket Type1
FDT04,17.25,LF,0.106952661,Frozen Foods,38.3822," 383,822.00 "," 10,695,266.10 ",OUT013,1987,High,Tier 3,Supermarket Type1
FDL58,,Regular,0.129825457,Snack Foods,263.2568," 2,632,568.00 "," 12,982,545.70 ",OUT019,1985,Small,Tier 1,Grocery Store
FDE52,10.395,Regular,0.029947409,Dairy,90.1514," 901,514.00 "," 2,994,740.90 ",OUT045,2002,,Tier 2,Supermarket Type1
FDW12,8.315,Regular,0.035565457,Baking Goods,144.8444," 1,448,444.00 "," 3,556,545.70 ",OUT035,2004,Small,Tier 2,Supermarket Type1
FDL51,20.7,Regular,0.047760002,Dairy,214.9876," 2,149,876.00 "," 4,776,000.20 ",OUT017,2007,,Tier 2,Supermarket Type1
NCY42,,Low Fat,0.015089147,Household,141.347," 1,413,470.00 "," 1,508,914.70 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDR07,21.35,Low Fat,0.07818366,Fruits and Vegetables,96.8094," 968,094.00 "," 7,818,366.00 ",OUT017,2007,,Tier 2,Supermarket Type1
FDN40,5.88,Low Fat,0.086632125,Frozen Foods,152.6998," 1,526,998.00 "," 8,663,212.50 ",OUT045,2002,,Tier 2,Supermarket Type1
FDB35,,Regular,0.064306056,Starchy Foods,90.3804," 903,804.00 "," 6,430,605.60 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDA22,7.435,low fat,0.08493006,Starchy Foods,165.8158," 1,658,158.00 "," 8,493,006.00 ",OUT017,2007,,Tier 2,Supermarket Type1
NCL06,14.65,Low Fat,0.072066634,Household,262.5594," 2,625,594.00 "," 7,206,663.40 ",OUT046,1997,Small,Tier 1,Supermarket Type1
FDI35,14,Low Fat,0.041256807,Starchy Foods,181.2634," 1,812,634.00 "," 4,125,680.70 ",OUT013,1987,High,Tier 3,Supermarket Type1
NCW42,18.2,Low Fat,0.058587558,Household,221.6456," 2,216,456.00 "," 5,858,755.80 ",OUT045,2002,,Tier 2,Supermarket Type1
NCX06,17.6,Low Fat,0.015711434,Household,180.0976," 1,800,976.00 "," 1,571,143.40 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
FDC37,,Low Fat,0.032714163,Baking Goods,108.1938," 1,081,938.00 "," 3,271,416.30 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDZ14,7.71,Regular,0.047782552,Dairy,122.3756," 1,223,756.00 "," 4,778,255.20 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
DRG49,7.81,Low Fat,0.067560171,Soft Drinks,245.2486," 2,452,486.00 "," 6,756,017.10 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
NCG06,16.35,Low Fat,0.029505077,Household,256.2646," 2,562,646.00 "," 2,950,507.70 ",OUT045,2002,,Tier 2,Supermarket Type1
DRC36,13,Regular,0.045076104,Soft Drinks,173.7054," 1,737,054.00 "," 4,507,610.40 ",OUT045,2002,,Tier 2,Supermarket Type1
FDV21,,Low Fat,0.299544153,Snack Foods,124.8704," 1,248,704.00 "," 29,954,415.30 ",OUT019,1985,Small,Tier 1,Grocery Store
FDB53,13.35,Low Fat,0.139452413,Frozen Foods,148.6392," 1,486,392.00 "," 13,945,241.30 ",OUT046,1997,Small,Tier 1,Supermarket Type1
DRP47,,Low Fat,0.246178257,Hard Drinks,252.4382," 2,524,382.00 "," 24,617,825.70 ",OUT019,1985,Small,Tier 1,Grocery Store
FDA14,16.1,LF,0.065128984,Dairy,145.176," 1,451,760.00 "," 6,512,898.40 ",OUT013,1987,High,Tier 3,Supermarket Type1
DRC24,17.85,Low Fat,0.024816585,Soft Drinks,152.6998," 1,526,998.00 "," 2,481,658.50 ",OUT035,2004,Small,Tier 2,Supermarket Type1
FDW21,5.34,Regular,0.005988175,Snack Foods,100.6358," 1,006,358.00 "," 598,817.50 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
NCH29,5.51,Low Fat,0.034473804,Health and Hygiene,97.3726," 973,726.00 "," 3,447,380.40 ",OUT046,1997,Small,Tier 1,Supermarket Type1
FDU58,6.61,Regular,0.028987582,Snack Foods,188.6898," 1,886,898.00 "," 2,898,758.20 ",OUT013,1987,High,Tier 3,Supermarket Type1
FDY27,6.38,Low Fat,0.032078604,Dairy,177.6344," 1,776,344.00 "," 3,207,860.40 ",OUT017,2007,,Tier 2,Supermarket Type1
FDV56,16.1,Regular,0.013593151,Fruits and Vegetables,108.9596," 1,089,596.00 "," 1,359,315.10 ",OUT035,2004,Small,Tier 2,Supermarket Type1
FDT59,13.65,LF,0.015911432,Breads,230.5668," 2,305,668.00 "," 1,591,143.20 ",OUT046,1997,Small,Tier 1,Supermarket Type1
FDB23,19.2,Regular,0.005588601,Starchy Foods,225.5062," 2,255,062.00 "," 558,860.10 ",OUT046,1997,Small,Tier 1,Supermarket Type1
FDR49,8.71,Low Fat,0.139510771,Canned,46.2376," 462,376.00 "," 13,951,077.10 ",OUT045,2002,,Tier 2,Supermarket Type1
FDB03,17.75,Regular,0.262504325,Dairy,242.2538," 2,422,538.00 "," 26,250,432.50 ",OUT010,1998,,Tier 3,Grocery Store
FDN39,19.35,Regular,0,Meat,165.7816," 1,657,816.00 ", -   ,OUT045,2002,,Tier 2,Supermarket Type1
FDX02,,Low Fat,0.056783774,Dairy,223.1404," 2,231,404.00 "," 5,678,377.40 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDQ16,,Low Fat,0.041536279,Frozen Foods,107.7912," 1,077,912.00 "," 4,153,627.90 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDU35,6.44,Low Fat,0.079538056,Breads,99.47," 994,700.00 "," 7,953,805.60 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
NCT29,12.6,Low Fat,0.064057374,Health and Hygiene,122.1414," 1,221,414.00 "," 6,405,737.40 ",OUT013,1987,High,Tier 3,Supermarket Type1
FDZ27,7.935,Low Fat,0.017156262,Dairy,48.135," 481,350.00 "," 1,715,626.20 ",OUT046,1997,Small,Tier 1,Supermarket Type1
FDN57,18.25,Low Fat,0.054540968,Snack Foods,140.4154," 1,404,154.00 "," 5,454,096.80 ",OUT017,2007,,Tier 2,Supermarket Type1
FDA03,18.5,Regular,0.045648973,Dairy,145.6102," 1,456,102.00 "," 4,564,897.30 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
FDZ36,6.035,Regular,0.065917194,Baking Goods,185.724," 1,857,240.00 "," 6,591,719.40 ",OUT045,2002,,Tier 2,Supermarket Type1
NCU05,11.8,Low Fat,0.058687359,Health and Hygiene,81.1618," 811,618.00 "," 5,868,735.90 ",OUT013,1987,High,Tier 3,Supermarket Type1
FDT39,6.26,Regular,0.009908113,Meat,151.1366," 1,511,366.00 "," 990,811.30 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
FDK60,16.5,Regular,0.094395215,Baking Goods,97.2068," 972,068.00 "," 9,439,521.50 ",OUT017,2007,,Tier 2,Supermarket Type1
FDZ25,15.7,Regular,0.02777326,Canned,169.279," 1,692,790.00 "," 2,777,326.00 ",OUT017,2007,,Tier 2,Supermarket Type1
FDG12,6.635,reg,0.006326106,Baking Goods,122.1098," 1,221,098.00 "," 632,610.60 ",OUT046,1997,Small,Tier 1,Supermarket Type1
DRB01,,low fat,0.143990546,Soft Drinks,191.553," 1,915,530.00 "," 14,399,054.60 ",OUT019,1985,Small,Tier 1,Grocery Store
NCC43,,Low Fat,0.09233359,Household,250.6066," 2,506,066.00 "," 9,233,359.00 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDX13,,Low Fat,0.083661793,Canned,248.6092," 2,486,092.00 "," 8,366,179.30 ",OUT019,1985,Small,Tier 1,Grocery Store
FDM22,14,Regular,0.042022999,Snack Foods,53.064," 530,640.00 "," 4,202,299.90 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
FDJ03,,Regular,0.072044336,Dairy,48.8692," 488,692.00 "," 7,204,433.60 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDU14,17.75,Low Fat,0,Dairy,249.775," 2,497,750.00 ", -   ,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDB33,17.75,Low Fat,0.024404214,Fruits and Vegetables,159.0262," 1,590,262.00 "," 2,440,421.40 ",OUT010,1998,,Tier 3,Grocery Store
FDP27,8.155,Low Fat,0.119450639,Meat,190.653," 1,906,530.00 "," 11,945,063.90 ",OUT046,1997,Small,Tier 1,Supermarket Type1
FDO38,17.25,Low Fat,0.121917641,Canned,76.6986," 766,986.00 "," 12,191,764.10 ",OUT010,1998,,Tier 3,Grocery Store
FDE28,,Regular,0.131905128,Frozen Foods,232.0668," 2,320,668.00 "," 13,190,512.80 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDO27,6.175,Regular,0.179043614,Meat,95.3752," 953,752.00 "," 17,904,361.40 ",OUT035,2004,Small,Tier 2,Supermarket Type1
DRL23,,Low Fat,0.0152302,Hard Drinks,107.0938," 1,070,938.00 "," 1,523,020.00 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDS28,8.18,Regular,0.082401592,Frozen Foods,55.9588," 559,588.00 "," 8,240,159.20 ",OUT046,1997,Small,Tier 1,Supermarket Type1
FDX24,8.355,Low Fat,0.013917468,Baking Goods,92.5462," 925,462.00 "," 1,391,746.80 ",OUT013,1987,High,Tier 3,Supermarket Type1
FDZ02,6.905,Regular,0.038140213,Dairy,96.3726," 963,726.00 "," 3,814,021.30 ",OUT035,2004,Small,Tier 2,Supermarket Type1
FDL46,20.35,Low Fat,0.054166556,Snack Foods,116.9466," 1,169,466.00 "," 5,416,655.60 ",OUT045,2002,,Tier 2,Supermarket Type1
FDS60,,Low Fat,0.03229139,Baking Goods,178.766," 1,787,660.00 "," 3,229,139.00 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
NCO06,19.25,Low Fat,0.108641498,Household,33.0558," 330,558.00 "," 10,864,149.80 ",OUT017,2007,,Tier 2,Supermarket Type1
FDO16,5.48,Low Fat,0.015105338,Frozen Foods,84.625," 846,250.00 "," 1,510,533.80 ",OUT035,2004,Small,Tier 2,Supermarket Type1
FDC60,5.425,Regular,0.114650377,Baking Goods,87.3514," 873,514.00 "," 11,465,037.70 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
FDA48,12.1,Low Fat,0.115342009,Baking Goods,220.2114," 2,202,114.00 "," 11,534,200.90 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
FDZ36,,Regular,0,Baking Goods,186.424," 1,864,240.00 ", -   ,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDK27,11,Low Fat,0.00896468,Meat,120.6756," 1,206,756.00 "," 896,468.00 ",OUT045,2002,,Tier 2,Supermarket Type1
FDW23,5.765,Low Fat,0.082346376,Baking Goods,38.8164," 388,164.00 "," 8,234,637.60 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
FDM14,13.8,Low Fat,0.013318,Canned,110.1254," 1,101,254.00 "," 1,331,800.00 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
FDM14,13.8,Low Fat,0.01325293,Canned,108.2254," 1,082,254.00 "," 1,325,293.00 ",OUT013,1987,High,Tier 3,Supermarket Type1
FDW60,5.44,Regular,0.017131453,Baking Goods,177.837," 1,778,370.00 "," 1,713,145.30 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
FDE21,12.8,Low Fat,0.022925594,Fruits and Vegetables,116.4492," 1,164,492.00 "," 2,292,559.40 ",OUT013,1987,High,Tier 3,Supermarket Type1
NCM42,6.13,Low Fat,0.028316137,Household,109.3912," 1,093,912.00 "," 2,831,613.70 ",OUT035,2004,Small,Tier 2,Supermarket Type1
FDY59,8.195,Low Fat,0.052562923,Baking Goods,93.9462," 939,462.00 "," 5,256,292.30 ",OUT010,1998,,Tier 3,Grocery Store
DRI49,14.15,Low Fat,0.1837926,Soft Drinks,81.3276," 813,276.00 "," 18,379,260.00 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
FDT28,,Low Fat,0.111296158,Frozen Foods,151.2708," 1,512,708.00 "," 11,129,615.80 ",OUT019,1985,Small,Tier 1,Grocery Store
FDQ22,16.75,Low Fat,0.029860799,Snack Foods,39.5822," 395,822.00 "," 2,986,079.90 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
FDR60,14.3,LF,0.130617879,Baking Goods,76.5328," 765,328.00 "," 13,061,787.90 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
FDC50,,LF,0.238990225,Canned,94.7094," 947,094.00 "," 23,899,022.50 ",OUT019,1985,Small,Tier 1,Grocery Store
FDV24,5.635,Low Fat,0.103186396,Baking Goods,151.805," 1,518,050.00 "," 10,318,639.60 ",OUT013,1987,High,Tier 3,Supermarket Type1
DRF48,5.73,Low Fat,0,Soft Drinks,188.3898," 1,883,898.00 ", -   ,OUT010,1998,,Tier 3,Grocery Store
FDQ47,7.155,Regular,0.168186376,Breads,36.5874," 365,874.00 "," 16,818,637.60 ",OUT046,1997,Small,Tier 1,Supermarket Type1
DRN36,15.2,low fat,0.050255855,Soft Drinks,97.3752," 973,752.00 "," 5,025,585.50 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
NCY06,15.25,Low Fat,0.061173235,Household,128.5968," 1,285,968.00 "," 6,117,323.50 ",OUT035,2004,Small,Tier 2,Supermarket Type1
FDE52,10.395,Regular,0.029881147,Dairy,89.5514," 895,514.00 "," 2,988,114.70 ",OUT035,2004,Small,Tier 2,Supermarket Type1
NCB54,8.76,Low Fat,0.050154219,Health and Hygiene,126.9336," 1,269,336.00 "," 5,015,421.90 ",OUT045,2002,,Tier 2,Supermarket Type1
NCF31,9.13,Low Fat,0.051837621,Household,152.6024," 1,526,024.00 "," 5,183,762.10 ",OUT035,2004,Small,Tier 2,Supermarket Type1
FDJ08,,Low Fat,0.11013617,Fruits and Vegetables,189.7846," 1,897,846.00 "," 11,013,617.00 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
NCC07,19.6,Low Fat,0.024086626,Household,106.0964," 1,060,964.00 "," 2,408,662.60 ",OUT017,2007,,Tier 2,Supermarket Type1
NCD19,,Low Fat,0.013115567,Household,53.7614," 537,614.00 "," 1,311,556.70 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDL46,20.35,Low Fat,0,Snack Foods,118.9466," 1,189,466.00 ", -   ,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDM20,10,Low Fat,0.038764258,Fruits and Vegetables,246.2144," 2,462,144.00 "," 3,876,425.80 ",OUT045,2002,,Tier 2,Supermarket Type1
NCI06,11.3,Low Fat,0.07986963,Household,180.466," 1,804,660.00 "," 7,986,963.00 ",OUT010,1998,,Tier 3,Grocery Store
DRM11,6.57,Low Fat,0.066057085,Hard Drinks,259.3278," 2,593,278.00 "," 6,605,708.50 ",OUT035,2004,Small,Tier 2,Supermarket Type1
NCH07,13.15,Low Fat,0.093044518,Household,158.4604," 1,584,604.00 "," 9,304,451.80 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS23,4.635,Low Fat,0.140771867,Breads,129.4994," 1,294,994.00 "," 14,077,186.70 ",OUT013,1987,High,Tier 3,Supermarket Type1
FDO49,10.6,Regular,0.033186809,Breakfast,49.1008," 491,008.00 "," 3,318,680.90 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS35,9.3,Low Fat,0.11139344,Breads,65.2826," 652,826.00 "," 11,139,344.00 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
DRK39,7.02,Low Fat,0.049966527,Dairy,82.525," 825,250.00 "," 4,996,652.70 ",OUT045,2002,,Tier 2,Supermarket Type1
DRI39,13.8,Low Fat,0.097212998,Dairy,58.293," 582,930.00 "," 9,721,299.80 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
FDV04,7.825,Regular,0.150863781,Frozen Foods,158.0288," 1,580,288.00 "," 15,086,378.10 ",OUT017,2007,,Tier 2,Supermarket Type1
NCN14,19.1,Low Fat,0.091900406,Others,182.5608," 1,825,608.00 "," 9,190,040.60 ",OUT035,2004,Small,Tier 2,Supermarket Type1
FDH08,7.51,Low Fat,0.017414576,Fruits and Vegetables,231.101," 2,311,010.00 "," 1,741,457.60 ",OUT013,1987,High,Tier 3,Supermarket Type1
FDS20,8.85,Low Fat,0.053866912,Fruits and Vegetables,183.0292," 1,830,292.00 "," 5,386,691.20 ",OUT046,1997,Small,Tier 1,Supermarket Type1
FDV40,17.35,Low Fat,0.014714625,Frozen Foods,75.4038," 754,038.00 "," 1,471,462.50 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
FDZ48,17.75,Low Fat,0.127140836,Baking Goods,110.5544," 1,105,544.00 "," 12,714,083.60 ",OUT010,1998,,Tier 3,Grocery Store
FDS24,,Regular,0.061923154,Baking Goods,87.5514," 875,514.00 "," 6,192,315.40 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDK44,16.6,Low Fat,0.122417514,Fruits and Vegetables,174.3738," 1,743,738.00 "," 12,241,751.40 ",OUT049,1999,Medium,Tier 1,Supermarket Type1
FDS48,15.15,Low Fat,0,Baking Goods,150.4708," 1,504,708.00 ", -   ,OUT045,2002,,Tier 2,Supermarket Type1
FDK26,5.46,Regular,0.053858378,Canned,186.924," 1,869,240.00 "," 5,385,837.80 ",OUT010,1998,,Tier 3,Grocery Store
FDD23,9.5,Regular,0.048784266,Starchy Foods,188.5898," 1,885,898.00 "," 4,878,426.60 ",OUT045,2002,,Tier 2,Supermarket Type1
NCH54,13.5,LF,0.073080167,Household,161.492," 1,614,920.00 "," 7,308,016.70 ",OUT017,2007,,Tier 2,Supermarket Type1
NCP14,8.275,Low Fat,0.184602443,Household,106.5306," 1,065,306.00 "," 18,460,244.30 ",OUT010,1998,,Tier 3,Grocery Store
FDM60,10.8,Regular,0.080582001,Baking Goods,39.4138," 394,138.00 "," 8,058,200.10 ",OUT010,1998,,Tier 3,Grocery Store
FDV24,5.635,Low Fat,0.103856487,Baking Goods,151.305," 1,513,050.00 "," 10,385,648.70 ",OUT017,2007,,Tier 2,Supermarket Type1
FDH08,7.51,Low Fat,0.017500079,Fruits and Vegetables,228.801," 2,288,010.00 "," 1,750,007.90 ",OUT018,2009,Medium,Tier 3,Supermarket Type2
FDS12,,Low Fat,0.173275373,Baking Goods,127.6362," 1,276,362.00 "," 17,327,537.30 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDR39,,Low Fat,0.083393481,Meat,180.6292," 1,806,292.00 "," 8,339,348.10 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
FDP12,,Regular,0.0450476,Baking Goods,36.4874," 364,874.00 "," 4,504,760.00 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
DRF60,,Low Fat,0.051816577,Soft Drinks,236.4564," 2,364,564.00 "," 5,181,657.70 ",OUT027,1985,Medium,Tier 3,Supermarket Type3
