ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP,Quantity,  Sales  ,OutletID,Date,OutletSize,LocationType,OutletType
FDT59,14,LF,0,Breads,231,10000," 2,305,668.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDB23,19,Regular,0,Starchy Foods,226,10000," 2,255,062.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDR49,9,Low Fat,0,Canned,46,9999," 462,376.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
FDB03,18,Regular,0,Dairy,242,10000," 2,422,538.00 ",OUT010,1998.00,,Tier 3,Grocery Store
FDN39,19,Regular,0,Meat,166,10000," 1,657,816.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
FDX02,,Low Fat,0,Dairy,223,10000," 2,231,404.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDQ16,,Low Fat,0,Frozen Foods,108,10000," 1,077,912.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDU35,6,Low Fat,0,Breads,99,10000," 994,700.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
NCT29,13,Low Fat,0,Health and Hygiene,122,10000," 1,221,414.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
FDZ27,8,Low Fat,0,Dairy,48,9999," 481,350.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDN57,18,Low Fat,0,Snack Foods,140,10000," 1,404,154.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDA03,19,Regular,0,Dairy,146,10000," 1,456,102.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDZ36,6,Regular,0,Baking Goods,186,10000," 1,857,240.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
NCU05,12,Low Fat,0,Health and Hygiene,81,10000," 811,618.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
FDT39,6,Regular,0,Meat,151,10000," 1,511,366.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDK60,17,Regular,0,Baking Goods,97,10000," 972,068.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDZ25,16,Regular,0,Canned,169,10000," 1,692,790.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDG12,7,reg,0,Baking Goods,122,10000," 1,221,098.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
DRB01,,low fat,0,Soft Drinks,192,10000," 1,915,530.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
NCC43,,Low Fat,0,Household,251,10000," 2,506,066.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDX13,,Low Fat,0,Canned,249,10000," 2,486,092.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDM22,14,Regular,0,Snack Foods,53,10001," 530,640.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDJ03,,Regular,0,Dairy,49,10000," 488,692.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDU14,18,Low Fat,0,Dairy,250,10000," 2,497,750.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDB33,18,Low Fat,0,Fruits and Vegetables,159,10000," 1,590,262.00 ",OUT010,1998.00,,Tier 3,Grocery Store
FDP27,8,Low Fat,0,Meat,191,10000," 1,906,530.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDO38,17,Low Fat,0,Canned,77,10000," 766,986.00 ",OUT010,1998.00,,Tier 3,Grocery Store
FDE28,,Regular,0,Frozen Foods,232,10000," 2,320,668.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDO27,6,Regular,0,Meat,95,10000," 953,752.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
DRL23,,Low Fat,0,Hard Drinks,107,10000," 1,070,938.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDS28,8,Regular,0,Frozen Foods,56,10000," 559,588.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDX24,8,Low Fat,0,Baking Goods,93,10000," 925,462.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
FDZ02,7,Regular,0,Dairy,96,10000," 963,726.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDL46,20,Low Fat,0,Snack Foods,117,10000," 1,169,466.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
FDS60,,Low Fat,0,Baking Goods,179,10000," 1,787,660.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
NCO06,19,Low Fat,0,Household,33,9999," 330,558.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDO16,5,Low Fat,0,Frozen Foods,85,9999," 846,250.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDC60,5,Regular,0,Baking Goods,87,10000," 873,514.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDA48,12,Low Fat,0,Baking Goods,220,10000," 2,202,114.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDZ36,,Regular,0,Baking Goods,186,10000," 1,864,240.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDK27,11,Low Fat,0,Meat,121,10000," 1,206,756.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
FDW23,6,Low Fat,0,Baking Goods,39,9999," 388,164.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDM14,14,Low Fat,0,Canned,110,10000," 1,101,254.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDM14,14,Low Fat,0,Canned,108,10000," 1,082,254.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
FDW60,5,Regular,0,Baking Goods,178,10000," 1,778,370.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDE21,13,Low Fat,0,Fruits and Vegetables,116,10000," 1,164,492.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
NCM42,6,Low Fat,0,Household,109,10000," 1,093,912.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDY59,8,Low Fat,0,Baking Goods,94,10000," 939,462.00 ",OUT010,1998.00,,Tier 3,Grocery Store
DRI49,14,Low Fat,0,Soft Drinks,81,10000," 813,276.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDT28,,Low Fat,0,Frozen Foods,151,10000," 1,512,708.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDQ22,17,Low Fat,0,Snack Foods,40,10001," 395,822.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDR60,14,LF,0,Baking Goods,77,10000," 765,328.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDC50,,LF,0,Canned,95,10000," 947,094.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDV24,6,Low Fat,0,Baking Goods,152,10000," 1,518,050.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
DRF48,6,Low Fat,0,Soft Drinks,188,10000," 1,883,898.00 ",OUT010,1998.00,,Tier 3,Grocery Store
FDQ47,7,Regular,0,Breads,37,9999," 365,874.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
DRN36,15,low fat,0,Soft Drinks,97,10000," 973,752.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
NCY06,15,Low Fat,0,Household,129,10000," 1,285,968.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDE52,10,Regular,0,Dairy,90,10000," 895,514.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
NCB54,9,Low Fat,0,Health and Hygiene,127,10000," 1,269,336.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
NCF31,9,Low Fat,0,Household,153,10000," 1,526,024.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDJ08,,Low Fat,0,Fruits and Vegetables,190,10000," 1,897,846.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
NCC07,20,Low Fat,0,Household,106,10000," 1,060,964.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
NCD19,,Low Fat,0,Household,54,10000," 537,614.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDL46,20,Low Fat,0,Snack Foods,119,10000," 1,189,466.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDM20,10,Low Fat,0,Fruits and Vegetables,246,10000," 2,462,144.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
NCI06,11,Low Fat,0,Household,180,10000," 1,804,660.00 ",OUT010,1998.00,,Tier 3,Grocery Store
DRM11,7,Low Fat,0,Hard Drinks,259,10000," 2,593,278.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
NCH07,13,Low Fat,0,Household,158,10000," 1,584,604.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDS23,5,Low Fat,0,Breads,130,10000," 1,294,994.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
FDO49,11,Regular,0,Breakfast,49,10000," 491,008.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDS35,9,Low Fat,0,Breads,65,10000," 652,826.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
DRK39,7,Low Fat,0,Dairy,83,9999," 825,250.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
DRI39,14,Low Fat,0,Dairy,58,10001," 582,930.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDV04,8,Regular,0,Frozen Foods,158,10000," 1,580,288.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
NCN14,19,Low Fat,0,Others,183,10000," 1,825,608.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDH08,8,Low Fat,0,Fruits and Vegetables,231,10000," 2,311,010.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
FDS20,9,Low Fat,0,Fruits and Vegetables,183,10000," 1,830,292.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDV40,17,Low Fat,0,Frozen Foods,75,10001," 754,038.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDZ48,18,Low Fat,0,Baking Goods,111,10000," 1,105,544.00 ",OUT010,1998.00,,Tier 3,Grocery Store
FDS24,,Regular,0,Baking Goods,88,10000," 875,514.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDK44,17,Low Fat,0,Fruits and Vegetables,174,10000," 1,743,738.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDS48,15,Low Fat,0,Baking Goods,150,10000," 1,504,708.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
FDK26,5,Regular,0,Canned,187,10000," 1,869,240.00 ",OUT010,1998.00,,Tier 3,Grocery Store
FDD23,10,Regular,0,Starchy Foods,189,10000," 1,885,898.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
NCH54,14,LF,0,Household,161,10000," 1,614,920.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
NCP14,8,Low Fat,0,Household,107,10000," 1,065,306.00 ",OUT010,1998.00,,Tier 3,Grocery Store
FDM60,11,Regular,0,Baking Goods,39,10001," 394,138.00 ",OUT010,1998.00,,Tier 3,Grocery Store
FDV24,6,Low Fat,0,Baking Goods,151,10000," 1,513,050.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDH08,8,Low Fat,0,Fruits and Vegetables,229,10000," 2,288,010.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDS12,,Low Fat,0,Baking Goods,128,10000," 1,276,362.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDR39,,Low Fat,0,Meat,181,10000," 1,806,292.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDP12,,Regular,0,Baking Goods,36,9999," 364,874.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
DRF60,,Low Fat,0,Soft Drinks,236,10000," 2,364,564.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDC09,16,Regular,0,Fruits and Vegetables,103,10000," 1,027,332.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDF50,5,low fat,0,Canned,199,10000," 1,985,768.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDG28,9,Regular,0,Frozen Foods,244,10000," 2,439,144.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
NCE19,9,Low Fat,0,Household,56,9999," 554,956.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
NCM53,19,Low Fat,0,Health and Hygiene,108,10000," 1,082,280.00 ",OUT010,1998.00,,Tier 3,Grocery Store
NCN18,9,Low Fat,0,Household,111,10000," 1,109,544.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDF32,16,Low Fat,0,Fruits and Vegetables,199,10000," 1,991,426.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDF11,10,Regular,0,Starchy Foods,239,10000," 2,394,538.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
DRI59,10,Low Fat,0,Hard Drinks,225,10000," 2,252,088.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
NCG54,12,Low Fat,0,Household,170,," 1,695,106.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDM44,13,Low Fat,0,Fruits and Vegetables,101,," 1,013,990.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDT57,15,Low Fat,0,Snack Foods,236,," 2,362,248.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDV24,6,Low Fat,0,Baking Goods,151,," 1,512,050.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDI50,,Regular,0,Canned,228,," 2,278,352.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDS09,9,Regular,0,Snack Foods,51,," 512,008.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
NCC31,,Low Fat,0,Household,155,," 1,545,972.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDQ07,,Regular,0,Fruits and Vegetables,219,," 2,190,456.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDC22,7,Regular,0,Snack Foods,192,," 1,918,820.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDZ56,16,Low Fat,0,Fruits and Vegetables,169,," 1,693,474.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDZ40,,Low Fat,0,Frozen Foods,54,," 539,298.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDS46,,Regular,0,Snack Foods,118,," 1,183,782.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
DRD24,14,Low Fat,0,Soft Drinks,141,," 1,406,154.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
FDV45,17,Low Fat,0,Snack Foods,189,," 1,891,556.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDL26,18,Low Fat,0,Canned,156,," 1,557,972.00 ",OUT045,2002.00,,Tier 2,Supermarket Type1
FDA56,9,Low Fat,0,Fruits and Vegetables,123,," 1,230,414.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDN27,21,Low Fat,0,Meat,118,," 1,181,808.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDM20,10,Low Fat,0,Fruits and Vegetables,245,," 2,450,144.00 ",OUT049,1999.00,Medium,Tier 1,Supermarket Type1
FDO16,5,Low Fat,0,Frozen Foods,83,," 828,250.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDL03,19,Regular,0,Meat,196,," 1,956,110.00 ",OUT035,2004.00,Small,Tier 2,Supermarket Type1
FDE58,19,Low Fat,0,Snack Foods,117,," 1,170,124.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
FDI02,,Regular,0,Canned,112,," 1,122,202.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
NCC55,,LF,0,Household,39,," 388,848.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDR03,16,Regular,0,Meat,206,," 2,057,980.00 ",OUT018,2009.00,Medium,Tier 3,Supermarket Type2
FDB14,20,Regular,0,Canned,93,," 926,120.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDR45,11,LF,0,Snack Foods,241,," 2,409,222.00 ",OUT013,1987.00,High,Tier 3,Supermarket Type1
NCN07,19,Low Fat,0,Others,130,," 1,300,284.00 ",OUT017,2007.00,,Tier 2,Supermarket Type1
FDM51,,Regular,0,Meat,102,," 1,022,674.00 ",OUT019,1985.00,Small,Tier 1,Grocery Store
FDT52,,Regular,0,Frozen Foods,245,," 2,449,144.00 ",OUT027,1985.00,Medium,Tier 3,Supermarket Type3
FDL26,18,Low Fat,0,Canned,154,," 1,542,972.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
NCZ42,11,Low Fat,0,Household,239,," 2,389,248.00 ",OUT046,1997.00,Small,Tier 1,Supermarket Type1
